BranchAddress,JumpTarget,Taken
0x24c5,0x24e5,1
0x24e5,0x27e9,0
0x24e9,0x2f56,0
0x24ed,0x2176,0
0x24f1,0x2a5a,1
0x2a5a,0x250c,0
0x2a5e,0x2833,0
0x2a62,0x2637,1
0x2637,0x2fc0,0
0x263b,0x2d6c,0
0x263f,0x2520,0
0x2643,0x2d7f,0
0x2647,0x2549,1
0x2549,0x22b9,0
0x254d,0x22d1,1
0x22d1,0x2332,1
0x2332,0x2570,1
0x2570,0x20cb,0
0x2574,0x2e45,0
0x2578,0x2d33,0
0x257c,0x2eca,0
0x2580,0x2529,0
0x2584,0x206a,1
0x206a,0x23b4,0
0x206e,0x2cee,0
0x2072,0x2d71,1
0x2d71,0x2474,1
0x2474,0x286f,1
0x286f,0x2743,0
0x2873,0x236b,1
0x236b,0x2d87,0
0x236f,0x2a61,0
0x2373,0x2de5,0
0x2377,0x2a98,0
0x237b,0x2e10,1
0x2e10,0x2547,0
0x2e14,0x27c2,0
0x2e18,0x2a8e,0
0x2e1c,0x2669,0
0x2e20,0x2e12,0
0x2e24,0x287a,0
0x2e28,0x2a0e,0
0x2e2c,0x23e2,0
0x2e30,0x275d,1
0x275d,0x22f2,1
0x22f2,0x20e1,0
0x22f6,0x2efc,0
0x22fa,0x2413,1
0x2413,0x2f03,0
0x2417,0x2995,0
0x241b,0x2192,0
0x241f,0x2a63,1
0x2a63,0x28d1,0
0x2a67,0x2eda,0
0x2a6b,0x29bd,0
0x2a6f,0x2e4d,1
0x2e4d,0x25ca,1
0x25ca,0x225f,0
0x25ce,0x263c,0
0x25d2,0x2ae0,0
0x25d6,0x2708,0
0x25da,0x224f,1
0x224f,0x2519,0
0x2253,0x2494,1
0x2494,0x21b6,0
0x2498,0x2cdd,0
0x249c,0x2e50,1
0x2e50,0x2f6e,1
0x2f6e,0x2ca8,0
0x2f72,0x2f0b,1
0x2f0b,0x232e,0
0x2f0f,0x2f7d,0
0x2f13,0x2605,1
0x2605,0x2a86,1
0x2a86,0x26c0,0
0x2a8a,0x243d,0
0x2a8e,0x2f3e,1
0x2f3e,0x22e8,1
0x22e8,0x211e,0
0x22ec,0x209d,0
0x22f0,0x22d9,0
0x22f4,0x29db,0
0x22f8,0x22f7,1
0x22f7,0x2584,0
0x22fb,0x2280,1
0x2280,0x2791,1
0x2791,0x266a,0
0x2795,0x2cb8,0
0x2799,0x2b55,0
0x279d,0x2211,1
0x2211,0x2ba9,0
0x2215,0x2f48,0
0x2219,0x2901,0
0x221d,0x2b23,1
0x2b23,0x2443,0
0x2b27,0x2d09,1
0x2d09,0x2361,0
0x2d0d,0x2cd0,1
0x2cd0,0x28c2,0
0x2cd4,0x2ef2,0
0x2cd8,0x2d7e,0
0x2cdc,0x29e0,1
0x29e0,0x21a2,1
0x21a2,0x2767,0
0x21a6,0x23e9,1
0x23e9,0x2a15,0
0x23ed,0x25d2,0
0x23f1,0x2371,1
0x2371,0x2c53,1
0x2c53,0x23d0,0
0x2c57,0x2c7a,0
0x2c5b,0x221f,0
0x2c5f,0x2cb0,1
0x2cb0,0x27a8,0
0x2cb4,0x26b6,0
0x2cb8,0x28a1,0
0x2cbc,0x20c3,0
0x2cc0,0x274c,0
0x2cc4,0x24d5,0
0x2cc8,0x28ca,0
0x2ccc,0x2876,1
0x2876,0x2b43,0
0x287a,0x2d59,0
0x287e,0x2a88,0
0x2882,0x208d,0
0x2886,0x2261,0
0x288a,0x207c,1
0x207c,0x22b7,0
0x2080,0x2b47,0
0x2084,0x22f1,1
0x22f1,0x235d,1
0x235d,0x2746,0
0x2361,0x236a,0
0x2365,0x25cd,0
0x2369,0x21e2,0
0x236d,0x2fcc,1
0x2fcc,0x2b87,0
0x2fd0,0x2fb2,0
0x2fd4,0x2af2,0
0x2fd8,0x2f73,0
0x2fdc,0x236e,0
0x2fe0,0x29aa,0
0x2fe4,0x28c8,0
0x2fe8,0x286e,0
0x2fec,0x2014,0
0x2ff0,0x20da,0
0x2ff4,0x28e9,0
0x2ff8,0x27f5,0
0x2ffc,0x2320,0
0x3000,0x271e,0
0x3004,0x21e9,1
0x21e9,0x25d4,0
0x21ed,0x22a0,0
0x21f1,0x23db,0
0x21f5,0x27f7,0
0x21f9,0x2bc6,0
0x21fd,0x2e31,1
0x2e31,0x23dd,0
0x2e35,0x2c15,0
0x2e39,0x2ca3,0
0x2e3d,0x2c14,0
0x2e41,0x20d6,1
0x20d6,0x23b6,1
0x23b6,0x2758,1
0x2758,0x2362,1
0x2362,0x23df,0
0x2366,0x2a55,0
0x236a,0x25f3,0
0x236e,0x2eb9,0
0x2372,0x2ef6,0
0x2376,0x2bdd,0
0x237a,0x232a,1
0x232a,0x21c4,1
0x21c4,0x2232,0
0x21c8,0x2f7e,0
0x21cc,0x20ac,0
0x21d0,0x27d3,0
0x21d4,0x206e,1
0x206e,0x2396,0
0x2072,0x2e3e,0
0x2076,0x2b8a,1
0x2b8a,0x2ed3,0
0x2b8e,0x2d0e,0
0x2b92,0x2ab4,1
0x2ab4,0x29a9,0
0x2ab8,0x2db3,0
0x2abc,0x2de5,0
0x2ac0,0x20ee,0
0x2ac4,0x271d,1
0x271d,0x234d,0
0x2721,0x2054,0
0x2725,0x2d31,0
0x2729,0x2919,0
0x272d,0x2ea3,1
0x2ea3,0x22fd,0
0x2ea7,0x2332,0
0x2eab,0x2ba2,1
0x2ba2,0x206a,0
0x2ba6,0x2d1f,0
0x2baa,0x21ad,0
0x2bae,0x27ce,0
0x2bb2,0x2638,1
0x2638,0x2004,0
0x263c,0x2ab1,0
0x2640,0x2ed9,0
0x2644,0x2387,0
0x2648,0x2684,1
0x2684,0x2188,1
0x2188,0x2239,0
0x218c,0x2b46,0
0x2190,0x2c9c,0
0x2194,0x20a1,0
0x2198,0x228a,0
0x219c,0x2c15,0
0x21a0,0x244a,0
0x21a4,0x290a,1
0x290a,0x2b3c,1
0x2b3c,0x2cc2,0
0x2b40,0x2195,0
0x2b44,0x2d16,1
0x2d16,0x224c,0
0x2d1a,0x29ba,0
0x2d1e,0x2aa5,0
0x2d22,0x2e40,1
0x2e40,0x277b,1
0x277b,0x290f,0
0x277f,0x28a5,0
0x2783,0x2038,0
0x2787,0x2644,0
0x278b,0x24ed,0
0x278f,0x2074,1
0x2074,0x23cf,0
0x2078,0x2c8d,1
0x2c8d,0x21c2,0
0x2c91,0x2a9b,0
0x2c95,0x2206,1
0x2206,0x282f,1
0x282f,0x2439,0
0x2833,0x224b,1
0x224b,0x23f7,0
0x224f,0x24ae,1
0x24ae,0x2462,1
0x2462,0x2fa3,0
0x2466,0x265d,0
0x246a,0x26bd,0
0x246e,0x2b31,0
0x2472,0x27ee,0
0x2476,0x25cb,0
0x247a,0x21c8,0
0x247e,0x286d,0
0x2482,0x2a09,1
0x2a09,0x2cc8,0
0x2a0d,0x2284,0
0x2a11,0x20eb,0
0x2a15,0x2dca,0
0x2a19,0x2e18,1
0x2e18,0x2ef9,1
0x2ef9,0x29dc,0
0x2efd,0x2dda,0
0x2f01,0x2327,0
0x2f05,0x2110,0
0x2f09,0x2e89,1
0x2e89,0x260a,0
0x2e8d,0x255c,0
0x2e91,0x2a10,1
0x2a10,0x261c,0
0x2a14,0x21b9,0
0x2a18,0x2731,1
0x2731,0x2382,0
0x2735,0x2013,0
0x2739,0x2b68,1
0x2b68,0x25c1,0
0x2b6c,0x271d,0
0x2b70,0x26f4,0
0x2b74,0x2fd0,0
0x2b78,0x226c,0
0x2b7c,0x22d8,0
0x2b80,0x24cc,0
0x2b84,0x2095,1
0x2095,0x21d8,0
0x2099,0x21bf,0
0x209d,0x247e,0
0x20a1,0x2ef4,0
0x20a5,0x2aca,0
0x20a9,0x2dea,1
0x2dea,0x2725,0
0x2dee,0x2567,0
0x2df2,0x2251,0
0x2df6,0x2825,0
0x2dfa,0x22df,0
0x2dfe,0x2f83,1
0x2f83,0x290e,0
0x2f87,0x2b34,0
0x2f8b,0x25b9,0
0x2f8f,0x2987,0
0x2f93,0x2b1a,0
0x2f97,0x21be,1
0x21be,0x2bc9,1
0x2bc9,0x2a51,1
0x2a51,0x2d5b,1
0x2d5b,0x219e,0
0x2d5f,0x2837,0
0x2d63,0x2d37,1
0x2d37,0x2d5a,0
0x2d3b,0x2688,1
0x2688,0x2e6f,0
0x268c,0x20d6,0
0x2690,0x2f8b,0
0x2694,0x269a,0
0x2698,0x270a,0
0x269c,0x254f,0
0x26a0,0x2e8e,0
0x26a4,0x28f0,0
0x26a8,0x2499,1
0x2499,0x27d1,0
0x249d,0x2eaf,0
0x24a1,0x2dd4,1
0x2dd4,0x2142,0
0x2dd8,0x24cd,0
0x2ddc,0x248b,0
0x2de0,0x265b,1
0x265b,0x2fe1,0
0x265f,0x23bf,1
0x23bf,0x285c,0
0x23c3,0x247c,0
0x23c7,0x2567,1
0x2567,0x2997,0
0x256b,0x2c83,0
0x256f,0x208a,0
0x2573,0x2afd,1
0x2afd,0x2320,0
0x2b01,0x2e30,1
0x2e30,0x2d17,0
0x2e34,0x2b53,0
0x2e38,0x2fb0,1
0x2fb0,0x2199,0
0x2fb4,0x2c3a,0
0x2fb8,0x21c5,0
0x2fbc,0x2e25,1
0x2e25,0x240d,1
0x240d,0x2044,0
0x2411,0x2fe7,0
0x2415,0x2134,1
0x2134,0x25d2,1
0x25d2,0x22df,0
0x25d6,0x2d8b,0
0x25da,0x2c31,0
0x25de,0x2626,0
0x25e2,0x2a96,0
0x25e6,0x2df6,0
0x25ea,0x27c1,0
0x25ee,0x2072,0
0x25f2,0x2a4e,1
0x2a4e,0x293b,0
0x2a52,0x26cc,0
0x2a56,0x248b,0
0x2a5a,0x2698,0
0x2a5e,0x243c,0
0x2a62,0x2a5d,0
0x2a66,0x257b,0
0x2a6a,0x2519,1
0x2519,0x20ff,1
0x20ff,0x2890,0
0x2103,0x2971,0
0x2107,0x2d50,0
0x210b,0x2cf1,1
0x2cf1,0x2943,0
0x2cf5,0x2fc9,1
0x2fc9,0x2e6c,1
0x2e6c,0x2155,1
0x2155,0x2cd2,1
0x2cd2,0x2338,0
0x2cd6,0x2459,0
0x2cda,0x21b9,1
0x21b9,0x25c8,0
0x21bd,0x2f51,0
0x21c1,0x2060,0
0x21c5,0x25fd,0
0x21c9,0x2712,1
0x2712,0x272a,1
0x272a,0x2ba2,1
0x2ba2,0x2bbb,0
0x2ba6,0x2c8e,0
0x2baa,0x240d,0
0x2bae,0x2ac8,0
0x2bb2,0x27b0,0
0x2bb6,0x213c,0
0x2bba,0x2b20,1
0x2b20,0x2024,0
0x2b24,0x2a86,1
0x2a86,0x26bf,0
0x2a8a,0x2421,0
0x2a8e,0x21d2,1
0x21d2,0x2aaa,1
0x2aaa,0x2c93,0
0x2aae,0x2cd2,0
0x2ab2,0x2337,1
0x2337,0x2343,0
0x233b,0x25c1,1
0x25c1,0x2fc4,1
0x2fc4,0x2d3d,0
0x2fc8,0x2da7,0
0x2fcc,0x23df,0
0x2fd0,0x2191,1
0x2191,0x2377,1
0x2377,0x2c51,1
0x2c51,0x2a53,0
0x2c55,0x221b,1
0x221b,0x2ee7,1
0x2ee7,0x204a,1
0x204a,0x215b,0
0x204e,0x21a7,1
0x21a7,0x2650,0
0x21ab,0x236a,0
0x21af,0x2980,0
0x21b3,0x22fa,0
0x21b7,0x25fd,0
0x21bb,0x2388,1
0x2388,0x2b29,0
0x238c,0x26f5,0
0x2390,0x2734,0
0x2394,0x2b30,1
0x2b30,0x26eb,1
0x26eb,0x2b96,0
0x26ef,0x24bc,0
0x26f3,0x2fe0,1
0x2fe0,0x2bf7,1
0x2bf7,0x27fe,0
0x2bfb,0x2af3,1
0x2af3,0x2fd4,0
0x2af7,0x2e0a,0
0x2afb,0x202d,0
0x2aff,0x27ae,0
0x2b03,0x2ef9,0
0x2b07,0x21d1,0
0x2b0b,0x2b92,0
0x2b0f,0x2c31,0
0x2b13,0x2ed3,1
0x2ed3,0x2607,0
0x2ed7,0x2f1c,0
0x2edb,0x2aa7,1
0x2aa7,0x2925,0
0x2aab,0x2c5c,1
0x2c5c,0x2242,1
0x2242,0x23d1,0
0x2246,0x2808,1
0x2808,0x2411,1
0x2411,0x2574,0
0x2415,0x252e,0
0x2419,0x2a33,1
0x2a33,0x254b,0
0x2a37,0x23cc,0
0x2a3b,0x2805,1
0x2805,0x240c,0
0x2809,0x2ab2,0
0x280d,0x2484,0
0x2811,0x23e2,0
0x2815,0x239d,0
0x2819,0x2815,0
0x281d,0x2382,0
0x2821,0x2351,1
0x2351,0x2d36,0
0x2355,0x28c2,1
0x28c2,0x2696,1
0x2696,0x245d,1
0x245d,0x2994,0
0x2461,0x200a,0
0x2465,0x2160,0
0x2469,0x2b64,0
0x246d,0x2d39,0
0x2471,0x2c1d,0
0x2475,0x2f6a,0
0x2479,0x2329,0
0x247d,0x2340,0
0x2481,0x2d8b,0
0x2485,0x23fb,0
0x2489,0x251e,0
0x248d,0x2332,1
0x2332,0x2468,1
0x2468,0x2179,0
0x246c,0x2341,0
0x2470,0x21e6,0
0x2474,0x2019,0
0x2478,0x23dc,0
0x247c,0x2f3f,0
0x2480,0x2900,1
0x2900,0x2ef8,0
0x2904,0x201b,0
0x2908,0x2648,1
0x2648,0x2857,0
0x264c,0x2690,0
0x2650,0x25d4,0
0x2654,0x2693,0
0x2658,0x2dc3,1
0x2dc3,0x23ae,0
0x2dc7,0x2c81,0
0x2dcb,0x2923,1
0x2923,0x23aa,0
0x2927,0x2249,0
0x292b,0x2e93,1
0x2e93,0x2547,0
0x2e97,0x2b06,0
0x2e9b,0x25de,0
0x2e9f,0x2a86,0
0x2ea3,0x20d1,0
0x2ea7,0x2d28,0
0x2eab,0x2ef7,0
0x2eaf,0x29b6,0
0x2eb3,0x2ac4,0
0x2eb7,0x2216,0
0x2ebb,0x2c93,1
0x2c93,0x2258,0
0x2c97,0x20ec,0
0x2c9b,0x2fc6,1
0x2fc6,0x2709,0
0x2fca,0x2d5a,0
0x2fce,0x263b,1
0x263b,0x29b7,0
0x263f,0x23ab,0
0x2643,0x2f37,0
0x2647,0x22d6,0
0x264b,0x2ec4,1
0x2ec4,0x20ac,0
0x2ec8,0x2b6d,0
0x2ecc,0x2356,0
0x2ed0,0x21be,1
0x21be,0x2ef4,1
0x2ef4,0x2acb,0
0x2ef8,0x2942,0
0x2efc,0x2c6a,0
0x2f00,0x238a,0
0x2f04,0x2ced,1
0x2ced,0x26f4,0
0x2cf1,0x29d5,0
0x2cf5,0x2b7a,1
0x2b7a,0x239f,0
0x2b7e,0x22f0,0
0x2b82,0x270e,0
0x2b86,0x27a3,0
0x2b8a,0x2ea1,1
0x2ea1,0x2a4c,0
0x2ea5,0x2f77,1
0x2f77,0x29ab,0
0x2f7b,0x2695,0
0x2f7f,0x2295,0
0x2f83,0x2e21,1
0x2e21,0x2180,0
0x2e25,0x2699,1
0x2699,0x2ace,0
0x269d,0x2018,0
0x26a1,0x291b,0
0x26a5,0x2b11,0
0x26a9,0x2ee7,0
0x26ad,0x2f19,0
0x26b1,0x2365,0
0x26b5,0x2382,0
0x26b9,0x27b6,0
0x26bd,0x2453,0
0x26c1,0x232b,0
0x26c5,0x2d36,0
0x26c9,0x2701,0
0x26cd,0x2e97,1
0x2e97,0x2940,1
0x2940,0x2a26,0
0x2944,0x2939,0
0x2948,0x298b,0
0x294c,0x2ca6,0
0x2950,0x2de2,0
0x2954,0x2dd6,1
0x2dd6,0x2512,0
0x2dda,0x2102,0
0x2dde,0x2dd6,1
0x2dd6,0x2c89,0
0x2dda,0x2466,0
0x2dde,0x286d,0
0x2de2,0x2072,1
0x2072,0x2621,0
0x2076,0x292f,0
0x207a,0x2fac,0
0x207e,0x2c32,0
0x2082,0x22ad,0
0x2086,0x2001,0
0x208a,0x2fe2,1
0x2fe2,0x2dc2,0
0x2fe6,0x2848,0
0x2fea,0x210c,0
0x2fee,0x2ad8,0
0x2ff2,0x2421,0
0x2ff6,0x2bc6,1
0x2bc6,0x297f,1
0x297f,0x2c72,0
0x2983,0x2d66,0
0x2987,0x2df9,0
0x298b,0x2cc2,1
0x2cc2,0x29eb,0
0x2cc6,0x28e9,0
0x2cca,0x2204,1
0x2204,0x2dc0,0
0x2208,0x2834,0
0x220c,0x2b28,0
0x2210,0x2691,0
0x2214,0x2494,1
0x2494,0x23a3,1
0x23a3,0x2b44,0
0x23a7,0x2519,1
0x2519,0x2036,0
0x251d,0x2b0a,1
0x2b0a,0x2dee,1
0x2dee,0x2b12,1
0x2b12,0x25ab,0
0x2b16,0x2457,0
0x2b1a,0x2768,0
0x2b1e,0x2507,1
0x2507,0x21a2,0
0x250b,0x2ac3,0
0x250f,0x2861,1
0x2861,0x2790,0
0x2865,0x25f1,0
0x2869,0x28e8,0
0x286d,0x2677,0
0x2871,0x2aee,0
0x2875,0x2ea4,0
0x2879,0x2635,0
0x287d,0x2b1d,0
0x2881,0x292f,0
0x2885,0x2316,0
0x2889,0x2565,0
0x288d,0x267f,0
0x2891,0x240f,0
0x2895,0x2482,1
0x2482,0x2a51,0
0x2486,0x2844,0
0x248a,0x2566,0
0x248e,0x2c44,0
0x2492,0x26df,1
0x26df,0x2943,1
0x2943,0x23e8,0
0x2947,0x2f24,1
0x2f24,0x2727,1
0x2727,0x24b5,1
0x24b5,0x2f40,0
0x24b9,0x2ade,0
0x24bd,0x27aa,0
0x24c1,0x2900,0
0x24c5,0x2e79,0
0x24c9,0x2a98,0
0x24cd,0x216e,0
0x24d1,0x28d3,1
0x28d3,0x2ea0,0
0x28d7,0x226c,1
0x226c,0x20c0,0
0x2270,0x2f7a,1
0x2f7a,0x2b1d,0
0x2f7e,0x27c8,1
0x27c8,0x2ac2,0
0x27cc,0x21a6,1
0x21a6,0x28e2,0
0x21aa,0x207c,0
0x21ae,0x29b8,1
0x29b8,0x2d83,0
0x29bc,0x286f,0
0x29c0,0x243e,1
0x243e,0x258d,0
0x2442,0x2a35,0
0x2446,0x264b,0
0x244a,0x2524,0
0x244e,0x27ec,0
0x2452,0x2ad8,1
0x2ad8,0x2287,0
0x2adc,0x2c24,1
0x2c24,0x2ca8,0
0x2c28,0x2f4f,1
0x2f4f,0x2cb1,0
0x2f53,0x2ec4,1
0x2ec4,0x2bd0,1
0x2bd0,0x2ced,1
0x2ced,0x2f5c,0
0x2cf1,0x22d8,0
0x2cf5,0x21e3,1
0x21e3,0x205c,0
0x21e7,0x29a3,0
0x21eb,0x2415,0
0x21ef,0x29a8,1
0x29a8,0x201e,1
0x201e,0x2edf,1
0x2edf,0x2835,0
0x2ee3,0x270d,0
0x2ee7,0x2a97,0
0x2eeb,0x2d80,0
0x2eef,0x28d2,0
0x2ef3,0x26e9,0
0x2ef7,0x2e70,0
0x2efb,0x2480,1
0x2480,0x2887,1
0x2887,0x27f5,0
0x288b,0x2b71,0
0x288f,0x2032,0
0x2893,0x2279,0
0x2897,0x27c1,1
0x27c1,0x21a6,0
0x27c5,0x205f,0
0x27c9,0x2148,1
0x2148,0x27f7,1
0x27f7,0x2e00,0
0x27fb,0x2fda,0
0x27ff,0x2bd6,0
0x2803,0x2649,0
0x2807,0x2736,0
0x280b,0x2b0e,1
0x2b0e,0x2a36,0
0x2b12,0x2a4d,0
0x2b16,0x2f23,0
0x2b1a,0x2132,1
0x2132,0x26a1,0
0x2136,0x2be2,0
0x213a,0x2925,0
0x213e,0x294d,1
0x294d,0x24ef,0
0x2951,0x2530,1
0x2530,0x2068,1
0x2068,0x25ad,0
0x206c,0x2861,1
0x2861,0x27de,0
0x2865,0x2a16,0
0x2869,0x2491,0
0x286d,0x2f63,1
0x2f63,0x26ac,0
0x2f67,0x258f,0
0x2f6b,0x201c,1
0x201c,0x2467,0
0x2020,0x2674,0
0x2024,0x287e,0
0x2028,0x2c41,0
0x202c,0x21bf,1
0x21bf,0x200a,0
0x21c3,0x2e1f,1
0x2e1f,0x2dc7,0
0x2e23,0x25c7,0
0x2e27,0x2538,0
0x2e2b,0x2af9,0
0x2e2f,0x2f40,0
0x2e33,0x2397,0
0x2e37,0x287a,0
0x2e3b,0x2e37,0
0x2e3f,0x2624,0
0x2e43,0x29e3,1
0x29e3,0x2e15,0
0x29e7,0x2207,1
0x2207,0x2d91,0
0x220b,0x27fe,0
0x220f,0x2635,0
0x2213,0x2726,0
0x2217,0x210a,0
0x221b,0x2db9,0
0x221f,0x2ca1,0
0x2223,0x245c,1
0x245c,0x2228,0
0x2460,0x2dca,1
0x2dca,0x2a20,0
0x2dce,0x28f1,1
0x28f1,0x2719,0
0x28f5,0x2c98,0
0x28f9,0x2a8e,0
0x28fd,0x2b7e,0
0x2901,0x2c39,0
0x2905,0x24d4,1
0x24d4,0x299a,1
0x299a,0x2f94,0
0x299e,0x2c4f,0
0x29a2,0x27e7,1
0x27e7,0x25f7,0
0x27eb,0x25c5,1
0x25c5,0x252f,0
0x25c9,0x2158,1
0x2158,0x24f6,0
0x215c,0x276d,0
0x2160,0x2d70,0
0x2164,0x2878,1
0x2878,0x2276,0
0x287c,0x213e,1
0x213e,0x26b0,0
0x2142,0x230d,0
0x2146,0x2f92,0
0x214a,0x2278,0
0x214e,0x2ff6,1
0x2ff6,0x2b9c,0
0x2ffa,0x20a0,0
0x2ffe,0x2c41,0
0x3002,0x2929,0
0x3006,0x2246,0
0x300a,0x2e9f,0
0x300e,0x27f4,0
0x3012,0x2d5e,0
0x3016,0x27c5,0
0x301a,0x2fbe,1
0x2fbe,0x2278,0
0x2fc2,0x26b9,1
0x26b9,0x2f74,1
0x2f74,0x28c8,0
0x2f78,0x22f4,1
0x22f4,0x2148,1
0x2148,0x2bea,1
0x2bea,0x203b,0
0x2bee,0x2ed0,1
0x2ed0,0x2b68,0
0x2ed4,0x264b,0
0x2ed8,0x27b9,0
0x2edc,0x2003,0
0x2ee0,0x2954,1
0x2954,0x26a4,1
0x26a4,0x26d4,0
0x26a8,0x2556,1
0x2556,0x2fdc,0
0x255a,0x243a,1
0x243a,0x2a82,0
0x243e,0x2fd0,0
0x2442,0x26d8,1
0x26d8,0x23ee,1
0x23ee,0x25a6,0
0x23f2,0x23b6,0
0x23f6,0x2dc0,1
0x2dc0,0x2393,1
0x2393,0x2015,0
0x2397,0x2f9b,1
0x2f9b,0x2bac,0
0x2f9f,0x2f3e,0
0x2fa3,0x2169,1
0x2169,0x258b,0
0x216d,0x24b5,0
0x2171,0x248e,0
0x2175,0x22d1,1
0x22d1,0x27fa,0
0x22d5,0x23a0,1
0x23a0,0x2e86,0
0x23a4,0x2778,0
0x23a8,0x2bf6,0
0x23ac,0x2c23,0
0x23b0,0x2b29,0
0x23b4,0x2ae6,1
0x2ae6,0x24fc,1
0x24fc,0x215a,1
0x215a,0x2d9a,0
0x215e,0x214e,1
0x214e,0x2b0e,0
0x2152,0x27e9,0
0x2156,0x269e,1
0x269e,0x2eb5,0
0x26a2,0x241d,0
0x26a6,0x285a,0
0x26aa,0x297b,0
0x26ae,0x2057,0
0x26b2,0x2e7b,0
0x26b6,0x2821,0
0x26ba,0x2cfa,0
0x26be,0x2bb9,1
0x2bb9,0x21b9,0
0x2bbd,0x2864,0
0x2bc1,0x2730,1
0x2730,0x2d9b,0
0x2734,0x2bcf,0
0x2738,0x253a,0
0x273c,0x23ec,0
0x2740,0x286e,1
0x286e,0x2778,0
0x2872,0x2ef9,0
0x2876,0x2b3b,1
0x2b3b,0x2548,1
0x2548,0x2985,0
0x254c,0x2cc8,0
0x2550,0x2876,0
0x2554,0x2cde,0
0x2558,0x203e,0
0x255c,0x280a,0
0x2560,0x2658,1
0x2658,0x2f4d,0
0x265c,0x2d79,0
0x2660,0x2e65,0
0x2664,0x2102,0
0x2668,0x2458,1
0x2458,0x2253,0
0x245c,0x2dc5,0
0x2460,0x29c7,1
0x29c7,0x24b8,0
0x29cb,0x2feb,0
0x29cf,0x28dc,0
0x29d3,0x2ea8,1
0x2ea8,0x228a,1
0x228a,0x277d,1
0x277d,0x2cf8,1
0x2cf8,0x24be,0
0x2cfc,0x25a8,1
0x25a8,0x2a00,0
0x25ac,0x256d,0
0x25b0,0x29e2,0
0x25b4,0x210b,0
0x25b8,0x20da,0
0x25bc,0x2546,0
0x25c0,0x2059,0
0x25c4,0x2159,0
0x25c8,0x20a6,0
0x25cc,0x2442,0
0x25d0,0x2164,0
0x25d4,0x2756,0
0x25d8,0x23b4,1
0x23b4,0x2b29,0
0x23b8,0x2407,0
0x23bc,0x21a3,0
0x23c0,0x2314,1
0x2314,0x2373,1
0x2373,0x2955,0
0x2377,0x22f0,1
0x22f0,0x25d6,0
0x22f4,0x25ac,1
